港澳台,#genre#
【SM超级偶像联赛】SUNNY接受惩罚 惹人喜爱 - 少女时代-Sunny,http://61.241.131.18/tx.rtmp.huya.com/1447745616-1447745616-6218020073647374336-4917028504-10057-A-0-1.m3u8
4月8日19点 R1SE何洛洛  - R1SE-何洛洛,http://61.241.131.18/tx.rtmp.huya.com/1099531742285-1099531742285-86391158330097664-2199063608026-10057-A-0-1.m3u8
黄金搭档 双炫登场 - NUEST-旼炫,http://61.241.131.18/tx.rtmp.huya.com/1099531728481-1099531728481-86331870601543680-2199063580418-10057-A-0-1.m3u8
黄金搭档 双炫登场 - NUEST-JR,http://61.241.131.18/tx.rtmp.huya.com/1099531728480-1099531728480-86331866306576384-2199063580416-10057-A-0-1.m3u8
我是一颗小虎牙 - 辰乐-NCTDREAM,http://61.241.131.18/tx.rtmp.huya.com/2493730193-2493730193-10710489623982768128-4987583842-10057-A-0-1.m3u8
我是一颗小虎牙 - 帝努-NCTDREAM,http://61.241.131.18/tx.rtmp.huya.com/2493730640-2493730640-10710491543833149440-4987584736-10057-A-0-1.m3u8
我是一颗小虎牙 - 仁俊-NCTDREAM,http://61.241.131.18/tx.rtmp.huya.com/2487406583-2487406583-10683329925840109568-4974936622-10057-A-0-1.m3u8
我是一颗小虎牙 - 渽民-NCTDREAM,http://61.241.131.18/tx.rtmp.huya.com/2487318471-2487318471-10682951487681724416-4974760398-10057-A-0-1.m3u8
我是一颗小虎牙 - 志晟-NCTDREAM,http://61.241.131.18/tx.rtmp.huya.com/2487318442-2487318442-10682951363127672832-4974760340-10057-A-0-1.m3u8
我是一颗小虎牙 - EXO-世勋,http://61.241.131.18/tx.rtmp.huya.com/2295245222-2295245222-9858003164790259712-4590613900-10057-A-0-1.m3u8
我是一颗小虎牙 - WayV-刘扬扬,http://61.241.131.18/tx.rtmp.huya.com/1099531768096-1099531768096-86502015730974720-2199063659648-10057-A-0-1.m3u8
我是一颗小虎牙 - WayV-钱锟,http://61.241.131.18/tx.rtmp.huya.com/1099531768091-1099531768091-86501994256138240-2199063659638-10057-A-0-1.m3u8
主播爱吃鸡-明星篇伯贤世勋篇06期：伯贤毒圈盲狙暴击，世勋98k千里杀敌 - EXO-伯贤,http://61.241.131.18/tx.rtmp.huya.com/1421004395-1421004395-6103167403997265920-4590089046-10057-A-0-1.m3u8
R1SE-赵磊	 - R1SE-赵磊,http://61.241.131.18/tx.rtmp.huya.com/1099531742287-1099531742287-86391166920032256-2199063608030-10057-A-0-1.m3u8
R1SE少年_收官之战 - R1SE-张颜齐,http://61.241.131.18/tx.rtmp.huya.com/1099531742286-1099531742286-86391162625064960-2199063608028-10057-A-0-1.m3u8
SM超级偶像联赛-希澈与你在一起 - SuperJunior-希澈,http://61.241.131.18/tx.rtmp.huya.com/1099531728477-1099531728477-86331853421674496-2199063580410-10057-A-0-1.m3u8
SM偶像联赛少女时代特辑第一期-泰妍（下） - 少女时代-泰妍,http://61.241.131.18/tx.rtmp.huya.com/1447745595-1447745595-6218019983453061120-4916946746-10057-A-0-1.m3u8
 通讯班快集合·开炮啦 - 勞資ヽ尐爺,http://61.241.131.18/tx.rtmp.huya.com/1394575560-1394575560-5989656422000885760-2789274576-10057-A-0-1-imgplus.m3u8
【春秋战国】乱世出英雄 - 漓江塔景区售票阿姨,http://61.241.131.18/tx.rtmp.huya.com/1524439846-1524439846-6547419283289276416-3049003148-10057-A-0-1.m3u8
【二炮】宁舍自己不舍兄弟 - 地狱ヽ妖妖,http://61.241.131.18/tx.rtmp.huya.com/1423782021-1423782021-6115097216827785216-2847687498-10057-A-0-1.m3u8
【国产美人】总有一款是你的菜 - 六宫,http://61.241.131.18/tx.rtmp.huya.com/1524434097-1524434097-6547394591522291712-3048991650-10057-A-0-1.m3u8
【欢le颂】22楼姐妹花 - 西红柿,http://61.241.131.18/tx.rtmp.huya.com/1524418105-1524418105-6547325906405294080-3048959666-10057-A-0-1.m3u8
【霍建华陈乔恩】令狐冲&东方不败	 - 北岛南城,http://61.241.131.18/tx.rtmp.huya.com/1524418076-1524418076-6547325781851242496-3048959608-10057-A-0-1.m3u8
【极品新娘】豆腐西施嫁给痴心憨夫 - 傻妞,http://61.241.131.18/tx.rtmp.huya.com/1394575549-1394575549-5989656374756245504-2789274554-10057-A-0-1-imgplus.m3u8
【经典】陈道明版康熙 - 四次元先生,http://61.241.131.18/tx.rtmp.huya.com/1524439831-1524439831-6547419218864766976-3049003118-10057-A-0-1-imgplus.m3u8
【经典】桃园结义三兄弟	 - 全优少年,http://61.241.131.18/tx.rtmp.huya.com/1524439845-1524439845-6547419278994309120-3049003146-10057-A-0-1.m3u8
【龙men镖局】白展堂的儿子那么大啦 - 柯冉冉,http://61.241.131.18/tx.rtmp.huya.com/1449698121-1449698121-6226406018767650816-2847687516-10057-A-0-1.m3u8
【毛骗】烧脑！街头小骗子的连环骗术！ - 二次元控,http://61.241.131.18/tx.rtmp.huya.com/1423782083-1423782083-6115097483115757568-2847687622-10057-A-0-1.m3u8
【七仙女】惊天地泣鬼神的传奇爱情故事 - 荒野达人,http://61.241.131.18/tx.rtmp.huya.com/1423787884-1423787884-6115122398221041664-2847699224-10057-A-0-1.m3u8
【秋香怒点唐伯虎】不要啊！ 秋香姐！ - TVB古装大片,http://61.241.131.18/tx.rtmp.huya.com/1199563481163-1199563481163-5444324506032144384-2399127085782-10057-A-0-1.m3u8
【神话】良心穿越剧 - loVe、飘零,http://61.241.131.18/tx.rtmp.huya.com/1524439835-1524439835-6547419236044636160-3049003126-10057-A-0-1.m3u8
【我de团长我的团】超燃抗战 - 小猪猪,http://61.241.131.18/tx.rtmp.huya.com/1394575538-1394575538-5989656327511605248-2789274532-10057-A-0-1.m3u8
【医馆笑传】陈赫x张子萱 oh天长地久 - 加班狗,http://61.241.131.18/tx.rtmp.huya.com/1449698185-1449698185-6226406293645557760-2847687566-10057-A-0-1.m3u8
【咱们结婚吧】高圆圆 黄海波 通宵看剧不能停	 - 扫地僧,http://61.241.131.18/tx.rtmp.huya.com/1250011-1250011-5368756364640256-2789253858-10057-A-0-1.m3u8
【qia同学少年】风华正茂 - 痞子帅叔叔,http://61.241.131.18/tx.rtmp.huya.com/1250011-1250011-5368756364640256-2789274572-10057-A-0-1.m3u8
便利贴女孩的阴差阳错 - 小妖孽,http://61.241.131.18/tx.rtmp.huya.com/1449584504-1449584504-6225918037468381184-3049003172-10057-A-0-1.m3u8
